#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,driver
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-01-26T20:00:00Z,19.9,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-02-06T11:00:00Z,17.4,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-02-16T11:00:00Z,33.3,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-02-19T14:00:00Z,20.1,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-02-22T20:00:00Z,20.3,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-04T13:00:00Z,19.83,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-18T20:00:00Z,20.21,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-19T13:00:00Z,4.9,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-03T15:00:00Z,35.9,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-08T17:00:00Z,22.2,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-17T07:00:00Z,24.6,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-22T08:00:00Z,21.1,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-22T17:00:00Z,3.4,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-22T18:00:00Z,10.6,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-24T06:00:00Z,27,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-25T06:00:00Z,3.9,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-25T08:00:00Z,27.3,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-27T12:00:00Z,22.8,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-29T13:00:00Z,15.6,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-29T18:00:00Z,30.1,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-03T11:00:00Z,21.46,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-05T14:00:00Z,14.17,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-06T22:00:00Z,39.25,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-08T22:00:00Z,10.98,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-09T21:00:00Z,11.29,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-18T17:00:00Z,35.08,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-23T10:00:00Z,12.97,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-27T19:00:00Z,17.74,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-03T18:00:00Z,22.71,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-08T11:00:00Z,26.66,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-12T11:00:00Z,4.35,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-18T19:00:00Z,4.5,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-20T21:00:00Z,31.01,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-25T10:00:00Z,13.11,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-06-25T17:00:00Z,17.93,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-04T09:00:00Z,33.91,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-07-14T15:00:00Z,35.76,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-09-25T19:00:00Z,18.68,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-09-28T08:00:00Z,30.55,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-09-30T10:00:00Z,11,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-10T11:00:00Z,27.69,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-10T18:00:00Z,21.3,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-16T19:00:00Z,30.26,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-17T21:00:00Z,34.23,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-23T13:00:00Z,32.52,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-27T19:00:00Z,15.28,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-10-30T18:00:00Z,19.36,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-05T20:00:00Z,39.32,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-06T18:00:00Z,32.77,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-10T20:00:00Z,22.47,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-15T20:00:00Z,28.46,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-18T18:00:00Z,25.6,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-20T12:00:00Z,17.81,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-23T16:00:00Z,29.47,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-24T20:00:00Z,7.63,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-11-27T19:00:00Z,12.13,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-04T09:00:00Z,41.87,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-05T14:00:00Z,20.06,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-05T17:00:00Z,11.4,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-10T09:00:00Z,10.7,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-10T11:00:00Z,12.92,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-11T09:00:00Z,2.51,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-11T10:00:00Z,24.09,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-12T12:00:00Z,17.18,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-12T22:00:00Z,22.51,consumed,charge,Driver 2
,,1,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-12-18T12:00:00Z,15.97,consumed,charge,Driver 2
